#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             0.00025             0.00033
  0.0626             0.00026             0.00039
  0.1253             0.00026             0.00037
  0.1879             0.00026             0.00029
  0.2506             0.00027             0.00020
  0.3132             0.00027             0.00015
  0.3758             0.00028             0.00019
  0.4385             0.00029             0.00028
  0.5011             0.00030             0.00038
  0.5637             0.00030             0.00043
  0.6264             0.00031             0.00041
  0.6890             0.00031             0.00033
  0.7517             0.00031             0.00024
  0.8143             0.00032             0.00020
  0.8769             0.00032             0.00023
  0.9396             0.00033             0.00033
  1.0022             0.00034             0.00042
  1.0648             0.00034             0.00047
  1.1275             0.00035             0.00044
  1.1901             0.00035             0.00036
  1.2528             0.00035             0.00027
  1.3154             0.00035             0.00024
  1.3780             0.00036             0.00027
  1.4407             0.00037             0.00037
  1.5033             0.00038             0.00046
  1.5659             0.00038             0.00050
  1.6286             0.00038             0.00047
  1.6912             0.00038             0.00039
  1.7539             0.00039             0.00030
  1.8165             0.00039             0.00027
  1.8791             0.00040             0.00031
  1.9418             0.00040             0.00040
  2.0044             0.00041             0.00049
  2.0670             0.00042             0.00053
  2.1297             0.00042             0.00050
  2.1923             0.00042             0.00041
  2.2550             0.00042             0.00033
  2.3176             0.00042             0.00031
  2.3802             0.00043             0.00035
  2.4429             0.00044             0.00044
  2.5055             0.00045             0.00053
  2.5682             0.00045             0.00057
  2.6308             0.00045             0.00053
  2.6934             0.00046             0.00045
  2.7561             0.00046             0.00037
  2.8187             0.00046             0.00034
  2.8813             0.00047             0.00039
  2.9440             0.00047             0.00049
  3.0066             0.00048             0.00057
  3.0693             0.00049             0.00061
  3.1319             0.00049             0.00056
  3.1945             0.00049             0.00048
  3.2572             0.00049             0.00040
  3.3198             0.00049             0.00038
  3.3824             0.00050             0.00043
  3.4451             0.00050             0.00053
  3.5077             0.00051             0.00061
  3.5704             0.00051             0.00064
  3.6330             0.00051             0.00060
  3.6956             0.00050             0.00051
  3.7583             0.00050             0.00043
  3.8209             0.00050             0.00041
  3.8835             0.00050             0.00047
  3.9462             0.00050             0.00056
  4.0088             0.00050             0.00064
