#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             0.00000             0.00019
  0.0626            -0.00000             0.00020
  0.1253            -0.00001             0.00021
  0.1879            -0.00001             0.00022
  0.2506            -0.00002             0.00022
  0.3132            -0.00002             0.00022
  0.3758            -0.00003             0.00023
  0.4385            -0.00003             0.00023
  0.5011            -0.00004             0.00024
  0.5637            -0.00005             0.00025
  0.6264            -0.00005             0.00026
  0.6890            -0.00006             0.00026
  0.7517            -0.00007             0.00026
  0.8143            -0.00009             0.00026
  0.8769            -0.00010             0.00027
  0.9396            -0.00012             0.00027
  1.0022            -0.00013             0.00028
  1.0648            -0.00015             0.00028
  1.1275            -0.00017             0.00029
  1.1901            -0.00019             0.00029
  1.2528            -0.00021             0.00029
  1.3154            -0.00024             0.00028
  1.3780            -0.00026             0.00029
  1.4407            -0.00029             0.00029
  1.5033            -0.00032             0.00029
  1.5659            -0.00034             0.00030
  1.6286            -0.00037             0.00030
  1.6912            -0.00040             0.00030
  1.7539            -0.00042             0.00029
  1.8165            -0.00045             0.00029
  1.8791            -0.00047             0.00029
  1.9418            -0.00048             0.00029
  2.0044            -0.00050             0.00029
  2.0670            -0.00050             0.00030
  2.1297            -0.00051             0.00030
  2.1923            -0.00051             0.00029
  2.2550            -0.00052             0.00029
  2.3176            -0.00052             0.00029
  2.3802            -0.00052             0.00028
  2.4429            -0.00053             0.00028
  2.5055            -0.00054             0.00028
  2.5682            -0.00055             0.00029
  2.6308            -0.00056             0.00029
  2.6934            -0.00056             0.00028
  2.7561            -0.00057             0.00028
  2.8187            -0.00056             0.00027
  2.8813            -0.00056             0.00027
  2.9440            -0.00055             0.00027
  3.0066            -0.00054             0.00027
  3.0693            -0.00053             0.00027
  3.1319            -0.00052             0.00027
  3.1945            -0.00051             0.00027
  3.2572            -0.00050             0.00026
  3.3198            -0.00050             0.00026
  3.3824            -0.00049             0.00026
  3.4451            -0.00049             0.00026
  3.5077            -0.00049             0.00026
  3.5704            -0.00049             0.00026
  3.6330            -0.00050             0.00026
  3.6956            -0.00050             0.00026
  3.7583            -0.00051             0.00025
  3.8209            -0.00051             0.00025
  3.8835            -0.00051             0.00024
  3.9462            -0.00052             0.00024
  4.0088            -0.00052             0.00024
  4.0715            -0.00052             0.00024
  4.1341            -0.00052             0.00024
  4.1967            -0.00052             0.00024
  4.2594            -0.00052             0.00024
  4.3220            -0.00052             0.00023
  4.3846            -0.00052             0.00023
  4.4473            -0.00052             0.00022
  4.5099            -0.00052             0.00022
  4.5726            -0.00052             0.00022
  4.6352            -0.00052             0.00022
  4.6978            -0.00052             0.00021
  4.7605            -0.00051             0.00020
  4.8231            -0.00051             0.00019
  4.8858            -0.00050             0.00018
  4.9484            -0.00049             0.00017
  5.0110            -0.00048             0.00016
  5.0737            -0.00047             0.00015
  5.1363            -0.00046             0.00014
  5.1989            -0.00045             0.00012
  5.2616            -0.00044             0.00009
  5.3242            -0.00043             0.00006
  5.3869            -0.00043             0.00003
  5.4495            -0.00042             0.00000
  5.5121            -0.00042            -0.00003
  5.5748            -0.00043            -0.00007
  5.6374            -0.00043            -0.00011
  5.7000            -0.00044            -0.00017
  5.7627            -0.00045            -0.00023
  5.8253            -0.00046            -0.00030
  5.8880            -0.00047            -0.00037
  5.9506            -0.00048            -0.00045
  6.0132            -0.00049            -0.00054
  6.0759            -0.00050            -0.00064
  6.1385            -0.00051            -0.00075
  6.2011            -0.00052            -0.00087
  6.2638            -0.00052            -0.00101
  6.3264            -0.00053            -0.00117
  6.3891            -0.00053            -0.00134
  6.4517            -0.00054            -0.00152
  6.5143            -0.00055            -0.00172
  6.5770            -0.00055            -0.00193
  6.6396            -0.00056            -0.00216
  6.7022            -0.00056            -0.00241
  6.7649            -0.00055            -0.00269
  6.8275            -0.00054            -0.00299
  6.8902            -0.00053            -0.00329
  6.9528            -0.00052            -0.00361
  7.0154            -0.00051            -0.00392
  7.0781            -0.00050            -0.00423
  7.1407            -0.00049            -0.00453
  7.2033            -0.00048            -0.00482
  7.2660            -0.00048            -0.00509
  7.3286            -0.00048            -0.00534
  7.3913            -0.00048            -0.00554
  7.4539            -0.00049            -0.00567
  7.5165            -0.00049            -0.00573
  7.5792            -0.00050            -0.00568
  7.6418            -0.00051            -0.00551
  7.7045            -0.00053            -0.00522
  7.7671            -0.00054            -0.00480
  7.8297            -0.00055            -0.00425
  7.8924            -0.00055            -0.00359
  7.9550            -0.00056            -0.00284
  8.0176            -0.00057            -0.00208
  8.0803            -0.00057            -0.00143
  8.1429            -0.00057            -0.00101
  8.2056            -0.00057            -0.00090
  8.2682            -0.00057            -0.00108
  8.3308            -0.00057            -0.00146
  8.3935            -0.00057            -0.00189
  8.4561            -0.00058            -0.00218
  8.5187            -0.00058            -0.00221
  8.5814            -0.00058            -0.00194
  8.6440            -0.00059            -0.00139
  8.7067            -0.00059            -0.00069
  8.7693            -0.00059             0.00005
  8.8319            -0.00059             0.00071
  8.8946            -0.00058             0.00122
  8.9572            -0.00057             0.00155
  9.0198            -0.00056             0.00167
  9.0825            -0.00056             0.00162
  9.1451            -0.00055             0.00143
  9.2078            -0.00054             0.00114
  9.2704            -0.00053             0.00081
  9.3330            -0.00053             0.00047
  9.3957            -0.00053             0.00013
  9.4583            -0.00053            -0.00020
  9.5209            -0.00053            -0.00051
  9.5836            -0.00054            -0.00078
  9.6462            -0.00055            -0.00099
  9.7089            -0.00056            -0.00111
  9.7715            -0.00057            -0.00109
  9.8341            -0.00059            -0.00095
  9.8968            -0.00060            -0.00070
  9.9594            -0.00062            -0.00039
 10.0221            -0.00063            -0.00010
 10.0847            -0.00064             0.00009
 10.1473            -0.00064             0.00013
 10.2100            -0.00065             0.00002
 10.2726            -0.00066            -0.00017
 10.3352            -0.00066            -0.00036
 10.3979            -0.00067            -0.00046
 10.4605            -0.00067            -0.00041
 10.5232            -0.00068            -0.00020
 10.5858            -0.00067             0.00013
 10.6484            -0.00067             0.00052
 10.7111            -0.00066             0.00090
 10.7737            -0.00065             0.00123
 10.8363            -0.00064             0.00150
 10.8990            -0.00063             0.00172
 10.9616            -0.00062             0.00190
 11.0243            -0.00060             0.00202
 11.0869            -0.00059             0.00207
 11.1495            -0.00059             0.00202
 11.2122            -0.00058             0.00185
 11.2748            -0.00058             0.00156
 11.3374            -0.00058             0.00116
 11.4001            -0.00058             0.00067
 11.4627            -0.00059             0.00014
 11.5254            -0.00060            -0.00039
 11.5880            -0.00060            -0.00090
 11.6506            -0.00061            -0.00136
 11.7133            -0.00062            -0.00172
 11.7759            -0.00063            -0.00197
 11.8385            -0.00063            -0.00207
 11.9012            -0.00063            -0.00201
 11.9638            -0.00064            -0.00179
 12.0265            -0.00063            -0.00148
 12.0891            -0.00063            -0.00117
 12.1517            -0.00063            -0.00095
 12.2144            -0.00062            -0.00087
 12.2770            -0.00062            -0.00092
 12.3397            -0.00061            -0.00104
 12.4023            -0.00061            -0.00111
 12.4649            -0.00060            -0.00103
 12.5276            -0.00060            -0.00074
 12.5902            -0.00059            -0.00023
 12.6528            -0.00058             0.00043
 12.7155            -0.00056             0.00114
 12.7781            -0.00054             0.00178
 12.8408            -0.00052             0.00227
 12.9034            -0.00050             0.00254
 12.9660            -0.00047             0.00257
 13.0287            -0.00044             0.00238
 13.0913            -0.00040             0.00200
 13.1539            -0.00037             0.00150
 13.2166            -0.00034             0.00092
 13.2792            -0.00031             0.00032
 13.3419            -0.00027            -0.00024
 13.4045            -0.00024            -0.00075
 13.4671            -0.00022            -0.00116
 13.5298            -0.00019            -0.00147
 13.5924            -0.00017            -0.00168
 13.6550            -0.00015            -0.00177
 13.7177            -0.00013            -0.00174
 13.7803            -0.00012            -0.00160
 13.8430            -0.00011            -0.00134
 13.9056            -0.00010            -0.00100
 13.9682            -0.00009            -0.00061
 14.0309            -0.00009            -0.00022
 14.0935            -0.00009             0.00009
 14.1561            -0.00009             0.00026
 14.2188            -0.00008             0.00027
 14.2814            -0.00008             0.00013
 14.3441            -0.00008            -0.00009
 14.4067            -0.00007            -0.00033
 14.4693            -0.00006            -0.00048
 14.5320            -0.00005            -0.00050
 14.5946            -0.00004            -0.00036
 14.6573            -0.00003            -0.00006
 14.7199            -0.00001             0.00036
 14.7825            -0.00000             0.00082
 14.8452             0.00000             0.00128
 14.9078             0.00001             0.00166
 14.9704             0.00001             0.00192
 15.0331             0.00001             0.00204
 15.0957             0.00001             0.00200
 15.1584             0.00001             0.00183
 15.2210             0.00000             0.00152
 15.2836             0.00000             0.00112
 15.3463            -0.00000             0.00062
 15.4089            -0.00001             0.00007
 15.4715            -0.00001            -0.00051
 15.5342            -0.00002            -0.00109
 15.5968            -0.00002            -0.00163
 15.6595            -0.00002            -0.00209
 15.7221            -0.00002            -0.00242
 15.7847            -0.00002            -0.00256
 15.8474            -0.00002            -0.00252
 15.9100            -0.00002            -0.00230
 15.9726            -0.00002            -0.00196
 16.0353            -0.00002            -0.00159
 16.0979            -0.00002            -0.00127
 16.1606            -0.00002            -0.00105
 16.2232            -0.00002            -0.00093
 16.2858            -0.00002            -0.00087
 16.3485            -0.00002            -0.00078
 16.4111            -0.00002            -0.00057
 16.4737            -0.00002            -0.00021
 16.5364            -0.00002             0.00030
 16.5990            -0.00002             0.00090
 16.6617            -0.00002             0.00152
 16.7243            -0.00003             0.00208
 16.7869            -0.00003             0.00249
 16.8496            -0.00003             0.00271
 16.9122            -0.00003             0.00271
 16.9749            -0.00003             0.00250
 17.0375            -0.00003             0.00212
 17.1001            -0.00003             0.00161
 17.1628            -0.00004             0.00104
 17.2254            -0.00004             0.00045
 17.2880            -0.00005            -0.00011
 17.3507            -0.00005            -0.00061
 17.4133            -0.00006            -0.00102
 17.4760            -0.00006            -0.00134
 17.5386            -0.00007            -0.00156
 17.6012            -0.00007            -0.00167
 17.6639            -0.00007            -0.00167
 17.7265            -0.00007            -0.00156
 17.7891            -0.00007            -0.00133
 17.8518            -0.00007            -0.00102
 17.9144            -0.00007            -0.00066
 17.9771            -0.00007            -0.00032
 18.0397            -0.00006            -0.00005
 18.1023            -0.00006             0.00009
 18.1650            -0.00006             0.00008
 18.2276            -0.00006            -0.00006
 18.2902            -0.00006            -0.00027
 18.3529            -0.00005            -0.00047
 18.4155            -0.00005            -0.00058
 18.4782            -0.00004            -0.00055
 18.5408            -0.00004            -0.00035
 18.6034            -0.00003            -0.00002
 18.6661            -0.00003             0.00041
 18.7287            -0.00002             0.00087
 18.7913            -0.00002             0.00130
 18.8540            -0.00003             0.00165
 18.9166            -0.00003             0.00187
 18.9793            -0.00004             0.00197
 19.0419            -0.00004             0.00193
 19.1045            -0.00005             0.00176
 19.1672            -0.00005             0.00149
 19.2298            -0.00006             0.00112
 19.2924            -0.00006             0.00069
 19.3551            -0.00006             0.00020
 19.4177            -0.00006            -0.00032
 19.4804            -0.00006            -0.00083
 19.5430            -0.00006            -0.00130
 19.6056            -0.00006            -0.00170
 19.6683            -0.00005            -0.00199
 19.7309            -0.00005            -0.00213
 19.7936            -0.00005            -0.00212
 19.8562            -0.00004            -0.00195
 19.9188            -0.00004            -0.00169
 19.9815            -0.00003            -0.00140
 20.0441            -0.00003            -0.00114
 20.1067            -0.00003            -0.00096
 20.1694            -0.00003            -0.00086
 20.2320            -0.00003            -0.00081
 20.2947            -0.00004            -0.00075
 20.3573            -0.00004            -0.00061
 20.4199            -0.00004            -0.00034
 20.4826            -0.00003             0.00005
 20.5452            -0.00003             0.00053
 20.6078            -0.00003             0.00105
 20.6705            -0.00002             0.00153
 20.7331            -0.00002             0.00192
 20.7958            -0.00002             0.00216
 20.8584            -0.00002             0.00221
 20.9210            -0.00002             0.00209
 20.9837            -0.00002             0.00181
 21.0463            -0.00002             0.00141
 21.1089            -0.00003             0.00094
 21.1716            -0.00003             0.00046
 21.2342            -0.00004            -0.00000
 21.2969            -0.00004            -0.00042
 21.3595            -0.00005            -0.00077
 21.4221            -0.00005            -0.00105
 21.4848            -0.00006            -0.00124
 21.5474            -0.00006            -0.00135
 21.6100            -0.00006            -0.00137
 21.6727            -0.00005            -0.00128
 21.7353            -0.00005            -0.00110
 21.7980            -0.00004            -0.00084
 21.8606            -0.00004            -0.00055
 21.9232            -0.00003            -0.00026
 21.9859            -0.00003            -0.00004
 22.0485            -0.00002             0.00007
 22.1112            -0.00002             0.00006
 22.1738            -0.00001            -0.00005
 22.2364            -0.00001            -0.00023
 22.2991            -0.00001            -0.00039
 22.3617            -0.00001            -0.00048
 22.4243            -0.00000            -0.00044
 22.4870            -0.00000            -0.00028
 22.5496             0.00000            -0.00000
 22.6123             0.00000             0.00035
 22.6749             0.00000             0.00073
 22.7375            -0.00000             0.00109
 22.8002            -0.00001             0.00137
 22.8628            -0.00001             0.00156
 22.9254            -0.00002             0.00164
 22.9881            -0.00003             0.00160
 23.0507            -0.00003             0.00147
 23.1134            -0.00004             0.00124
 23.1760            -0.00005             0.00093
 23.2386            -0.00005             0.00056
 23.3013            -0.00005             0.00014
 23.3639            -0.00005            -0.00029
 23.4265            -0.00005            -0.00073
 23.4892            -0.00005            -0.00113
 23.5518            -0.00005            -0.00147
 23.6145            -0.00004            -0.00173
 23.6771            -0.00004            -0.00187
 23.7397            -0.00003            -0.00188
 23.8024            -0.00003            -0.00176
 23.8650            -0.00002            -0.00154
 23.9276            -0.00002            -0.00127
 23.9903            -0.00002            -0.00101
