#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000            -0.00001            -0.00001
  0.0626            -0.00001            -0.00001
  0.1252            -0.00001            -0.00001
  0.1878            -0.00001            -0.00001
  0.2504            -0.00001            -0.00001
  0.3130            -0.00001            -0.00001
  0.3756            -0.00001            -0.00001
  0.4382            -0.00001            -0.00001
  0.5009            -0.00001            -0.00001
  0.5635            -0.00000            -0.00000
  0.6261            -0.00000            -0.00000
  0.6887            -0.00000            -0.00000
  0.7513            -0.00000            -0.00000
  0.8139            -0.00000            -0.00000
  0.8765            -0.00000            -0.00000
  0.9391             0.00000             0.00000
  1.0017             0.00000             0.00000
  1.0643             0.00000             0.00000
  1.1269             0.00000             0.00000
  1.1895             0.00000             0.00000
  1.2521             0.00000             0.00000
  1.3147             0.00001             0.00001
  1.3773             0.00001             0.00001
  1.4399             0.00001             0.00001
  1.5026             0.00001             0.00001
  1.5652             0.00001             0.00001
  1.6278             0.00001             0.00001
  1.6904             0.00001             0.00001
  1.7530             0.00001             0.00001
  1.8156             0.00001             0.00001
  1.8782             0.00001             0.00001
  1.9408             0.00001             0.00001
  2.0034             0.00001             0.00002
  2.0660             0.00002             0.00002
  2.1286             0.00002             0.00002
  2.1912             0.00002             0.00002
  2.2538             0.00002             0.00002
  2.3164             0.00002             0.00002
  2.3790             0.00002             0.00002
  2.4416             0.00002             0.00002
  2.5043             0.00002             0.00002
  2.5669             0.00002             0.00002
  2.6295             0.00002             0.00002
  2.6921             0.00002             0.00002
  2.7547             0.00002             0.00002
  2.8173             0.00002             0.00002
  2.8799             0.00002             0.00003
  2.9425             0.00002             0.00003
  3.0051             0.00003             0.00003
  3.0677             0.00003             0.00003
  3.1303             0.00003             0.00003
  3.1929             0.00003             0.00003
  3.2555             0.00003             0.00003
  3.3181             0.00003             0.00003
  3.3807             0.00003             0.00003
  3.4433             0.00003             0.00003
  3.5060             0.00003             0.00003
  3.5686             0.00003             0.00003
  3.6312             0.00003             0.00003
  3.6938             0.00003             0.00003
  3.7564             0.00003             0.00003
  3.8190             0.00003             0.00003
  3.8816             0.00003             0.00003
  3.9442             0.00003             0.00003
  4.0068             0.00002             0.00003
  4.0694             0.00002             0.00003
  4.1320             0.00002             0.00003
  4.1946             0.00002             0.00003
  4.2572             0.00002             0.00003
  4.3198             0.00002             0.00003
  4.3824             0.00001             0.00003
  4.4451             0.00001             0.00003
  4.5077             0.00001             0.00002
  4.5703             0.00001             0.00002
  4.6329             0.00000             0.00002
  4.6955            -0.00000             0.00002
  4.7581            -0.00001             0.00001
  4.8207            -0.00002             0.00001
  4.8833            -0.00002             0.00001
  4.9459            -0.00003             0.00000
  5.0085            -0.00004            -0.00000
  5.0711            -0.00005            -0.00001
  5.1337            -0.00006            -0.00001
  5.1963            -0.00008            -0.00002
  5.2589            -0.00009            -0.00003
  5.3215            -0.00011            -0.00004
  5.3841            -0.00013            -0.00005
  5.4468            -0.00015            -0.00006
  5.5094            -0.00017            -0.00008
  5.5720            -0.00020            -0.00009
  5.6346            -0.00023            -0.00011
  5.6972            -0.00026            -0.00013
  5.7598            -0.00030            -0.00015
  5.8224            -0.00034            -0.00018
  5.8850            -0.00038            -0.00021
  5.9476            -0.00042            -0.00024
  6.0102            -0.00047            -0.00028
  6.0728            -0.00053            -0.00032
  6.1354            -0.00059            -0.00036
  6.1980            -0.00065            -0.00042
  6.2606            -0.00071            -0.00047
  6.3232            -0.00078            -0.00053
  6.3858            -0.00084            -0.00060
  6.4485            -0.00091            -0.00068
  6.5111            -0.00098            -0.00076
  6.5737            -0.00105            -0.00085
  6.6363            -0.00112            -0.00094
  6.6989            -0.00118            -0.00105
  6.7615            -0.00124            -0.00116
  6.8241            -0.00128            -0.00127
  6.8867            -0.00132            -0.00139
  6.9493            -0.00135            -0.00152
  7.0119            -0.00136            -0.00164
  7.0745            -0.00137            -0.00177
