#Distance(A)    Macroscopic-Average    Planar-Average
  0.0000             0.00003             0.00006
  0.0626             0.00003             0.00006
  0.1252             0.00003             0.00006
  0.1878             0.00003             0.00006
  0.2504             0.00003             0.00005
  0.3130             0.00003             0.00005
  0.3756             0.00003             0.00005
  0.4382             0.00003             0.00005
  0.5009             0.00003             0.00005
  0.5635             0.00003             0.00005
  0.6261             0.00003             0.00005
  0.6887             0.00003             0.00005
  0.7513             0.00003             0.00005
  0.8139             0.00003             0.00005
  0.8765             0.00003             0.00005
  0.9391             0.00003             0.00005
  1.0017             0.00003             0.00005
  1.0643             0.00002             0.00005
  1.1269             0.00002             0.00005
  1.1895             0.00002             0.00004
  1.2521             0.00002             0.00004
  1.3147             0.00002             0.00004
  1.3773             0.00002             0.00004
  1.4399             0.00002             0.00004
  1.5026             0.00002             0.00004
  1.5652             0.00002             0.00004
  1.6278             0.00002             0.00003
  1.6904             0.00002             0.00003
  1.7530             0.00001             0.00003
  1.8156             0.00001             0.00002
  1.8782             0.00001             0.00002
  1.9408             0.00001             0.00002
  2.0034             0.00001             0.00002
  2.0660             0.00001             0.00002
  2.1286             0.00001             0.00002
  2.1912             0.00001             0.00001
  2.2538             0.00000             0.00001
  2.3164             0.00000             0.00001
  2.3790             0.00000             0.00000
  2.4416            -0.00000             0.00000
  2.5043            -0.00000             0.00000
  2.5669            -0.00000             0.00000
  2.6295            -0.00001             0.00000
  2.6921            -0.00001            -0.00000
  2.7547            -0.00001            -0.00001
  2.8173            -0.00001            -0.00001
  2.8799            -0.00002            -0.00001
  2.9425            -0.00002            -0.00002
  3.0051            -0.00002            -0.00002
  3.0677            -0.00002            -0.00002
  3.1303            -0.00003            -0.00002
  3.1929            -0.00003            -0.00002
  3.2555            -0.00003            -0.00003
  3.3181            -0.00004            -0.00003
  3.3807            -0.00004            -0.00003
  3.4433            -0.00005            -0.00003
  3.5060            -0.00005            -0.00003
  3.5686            -0.00005            -0.00003
  3.6312            -0.00006            -0.00003
  3.6938            -0.00007            -0.00004
  3.7564            -0.00007            -0.00004
  3.8190            -0.00008            -0.00005
  3.8816            -0.00008            -0.00005
  3.9442            -0.00009            -0.00005
  4.0068            -0.00009            -0.00005
  4.0694            -0.00010            -0.00005
  4.1320            -0.00011            -0.00005
  4.1946            -0.00011            -0.00005
  4.2572            -0.00012            -0.00005
  4.3198            -0.00012            -0.00006
  4.3824            -0.00013            -0.00006
  4.4451            -0.00013            -0.00006
  4.5077            -0.00014            -0.00005
  4.5703            -0.00014            -0.00005
  4.6329            -0.00015            -0.00005
  4.6955            -0.00016            -0.00005
  4.7581            -0.00016            -0.00006
  4.8207            -0.00017            -0.00006
  4.8833            -0.00017            -0.00006
  4.9459            -0.00018            -0.00006
  5.0085            -0.00018            -0.00006
  5.0711            -0.00019            -0.00006
  5.1337            -0.00019            -0.00006
  5.1963            -0.00020            -0.00006
  5.2589            -0.00021            -0.00007
  5.3215            -0.00021            -0.00007
  5.3841            -0.00022            -0.00007
  5.4468            -0.00022            -0.00008
  5.5094            -0.00023            -0.00008
  5.5720            -0.00023            -0.00008
  5.6346            -0.00024            -0.00008
  5.6972            -0.00024            -0.00009
  5.7598            -0.00025            -0.00010
  5.8224            -0.00025            -0.00011
  5.8850            -0.00026            -0.00012
  5.9476            -0.00026            -0.00013
  6.0102            -0.00027            -0.00014
  6.0728            -0.00028            -0.00015
  6.1354            -0.00028            -0.00017
  6.1980            -0.00029            -0.00019
  6.2606            -0.00029            -0.00022
  6.3232            -0.00030            -0.00025
  6.3858            -0.00030            -0.00028
  6.4485            -0.00030            -0.00031
  6.5111            -0.00031            -0.00035
  6.5737            -0.00031            -0.00039
  6.6363            -0.00032            -0.00043
  6.6989            -0.00032            -0.00048
  6.7615            -0.00032            -0.00054
  6.8241            -0.00033            -0.00060
  6.8867            -0.00033            -0.00066
  6.9493            -0.00033            -0.00072
  7.0119            -0.00033            -0.00077
  7.0745            -0.00034            -0.00082
  7.1371            -0.00034            -0.00088
  7.1997            -0.00034            -0.00093
  7.2623            -0.00034            -0.00098
  7.3249            -0.00034            -0.00103
  7.3875            -0.00034            -0.00107
  7.4502            -0.00034            -0.00111
  7.5128            -0.00033            -0.00115
  7.5754            -0.00033            -0.00117
  7.6380            -0.00033            -0.00119
  7.7006            -0.00033            -0.00117
  7.7632            -0.00032            -0.00112
  7.8258            -0.00032            -0.00100
  7.8884            -0.00032            -0.00081
  7.9510            -0.00032            -0.00057
  8.0136            -0.00031            -0.00029
  8.0762            -0.00031            -0.00002
  8.1388            -0.00030             0.00018
  8.2014            -0.00030             0.00028
  8.2640            -0.00030             0.00027
  8.3266            -0.00029             0.00015
  8.3893            -0.00029            -0.00003
  8.4519            -0.00028            -0.00022
  8.5145            -0.00028            -0.00036
  8.5771            -0.00027            -0.00040
  8.6397            -0.00027            -0.00036
  8.7023            -0.00026            -0.00025
  8.7649            -0.00026            -0.00010
  8.8275            -0.00025             0.00004
  8.8901            -0.00025             0.00015
  8.9527            -0.00024             0.00021
  9.0153            -0.00024             0.00022
  9.0779            -0.00023             0.00018
  9.1405            -0.00023             0.00013
  9.2031            -0.00022             0.00005
  9.2657            -0.00022            -0.00002
  9.3283            -0.00021            -0.00011
  9.3910            -0.00021            -0.00020
  9.4536            -0.00020            -0.00029
  9.5162            -0.00020            -0.00040
  9.5788            -0.00019            -0.00049
  9.6414            -0.00019            -0.00056
  9.7040            -0.00018            -0.00059
  9.7666            -0.00017            -0.00055
  9.8292            -0.00017            -0.00044
  9.8918            -0.00016            -0.00028
  9.9544            -0.00016            -0.00009
 10.0170            -0.00015             0.00008
 10.0796            -0.00014             0.00021
 10.1422            -0.00014             0.00026
 10.2048            -0.00013             0.00024
 10.2674            -0.00013             0.00018
 10.3300            -0.00012             0.00008
 10.3927            -0.00011             0.00000
 10.4553            -0.00011            -0.00004
 10.5179            -0.00010            -0.00003
 10.5805            -0.00010             0.00003
 10.6431            -0.00009             0.00011
 10.7057            -0.00009             0.00020
 10.7683            -0.00008             0.00027
 10.8309            -0.00008             0.00033
 10.8935            -0.00007             0.00036
 10.9561            -0.00007             0.00037
 11.0187            -0.00006             0.00036
 11.0813            -0.00006             0.00035
 11.1439            -0.00006             0.00031
 11.2065            -0.00005             0.00025
 11.2691            -0.00005             0.00015
 11.3317            -0.00005             0.00000
 11.3944            -0.00004            -0.00018
 11.4570            -0.00004            -0.00039
 11.5196            -0.00004            -0.00061
 11.5822            -0.00004            -0.00083
 11.6448            -0.00003            -0.00103
 11.7074            -0.00003            -0.00117
 11.7700            -0.00003            -0.00122
 11.8326            -0.00003            -0.00116
 11.8952            -0.00003            -0.00098
 11.9578            -0.00002            -0.00067
 12.0204            -0.00002            -0.00028
 12.0830            -0.00002             0.00015
 12.1456            -0.00002             0.00055
 12.2082            -0.00001             0.00085
 12.2708            -0.00001             0.00100
 12.3335            -0.00001             0.00098
 12.3961            -0.00001             0.00081
 12.4587            -0.00001             0.00056
 12.5213            -0.00001             0.00029
 12.5839            -0.00001             0.00009
 12.6465            -0.00001            -0.00000
 12.7091            -0.00001             0.00001
 12.7717            -0.00001             0.00010
 12.8343            -0.00001             0.00021
 12.8969            -0.00001             0.00030
 12.9595            -0.00001             0.00033
 13.0221            -0.00001             0.00031
 13.0847            -0.00001             0.00025
 13.1473            -0.00001             0.00018
 13.2099            -0.00001             0.00010
 13.2725            -0.00001             0.00003
 13.3352            -0.00000            -0.00005
 13.3978            -0.00000            -0.00015
 13.4604            -0.00000            -0.00026
 13.5230            -0.00000            -0.00038
 13.5856            -0.00000            -0.00049
 13.6482            -0.00000            -0.00054
 13.7108            -0.00000            -0.00052
 13.7734            -0.00000            -0.00040
 13.8360            -0.00000            -0.00021
 13.8986            -0.00000             0.00000
 13.9612            -0.00000             0.00019
 14.0238            -0.00000             0.00031
 14.0864            -0.00000             0.00033
 14.1490            -0.00000             0.00026
 14.2116            -0.00000             0.00014
 14.2742            -0.00000            -0.00000
 14.3369            -0.00000            -0.00011
 14.3995            -0.00000            -0.00015
 14.4621            -0.00000            -0.00011
 14.5247            -0.00000            -0.00001
 14.5873            -0.00000             0.00012
 14.6499            -0.00000             0.00025
 14.7125            -0.00000             0.00035
 14.7751            -0.00000             0.00040
 14.8377            -0.00000             0.00040
 14.9003            -0.00000             0.00039
 14.9629            -0.00000             0.00036
 15.0255            -0.00000             0.00035
 15.0881            -0.00000             0.00033
 15.1507            -0.00000             0.00030
 15.2133            -0.00000             0.00024
 15.2759            -0.00000             0.00014
 15.3386             0.00000             0.00001
 15.4012             0.00000            -0.00016
 15.4638             0.00000            -0.00034
 15.5264             0.00000            -0.00051
 15.5890             0.00000            -0.00067
 15.6516             0.00000            -0.00078
 15.7142             0.00000            -0.00085
 15.7768            -0.00000            -0.00085
 15.8394            -0.00000            -0.00077
 15.9020            -0.00000            -0.00063
 15.9646            -0.00000            -0.00043
 16.0272            -0.00000            -0.00021
 16.0898            -0.00000             0.00000
 16.1524            -0.00000             0.00015
 16.2150            -0.00000             0.00023
 16.2777            -0.00000             0.00021
 16.3403            -0.00000             0.00012
 16.4029            -0.00000            -0.00000
 16.4655            -0.00000            -0.00010
 16.5281            -0.00000            -0.00015
 16.5907            -0.00000            -0.00011
 16.6533             0.00000            -0.00001
 16.7159             0.00000             0.00014
 16.7785             0.00000             0.00030
 16.8411             0.00000             0.00043
 16.9037             0.00000             0.00051
 16.9663             0.00000             0.00053
 17.0289             0.00000             0.00051
 17.0915             0.00001             0.00046
 17.1541             0.00001             0.00038
 17.2167             0.00001             0.00029
 17.2794             0.00001             0.00019
 17.3420             0.00001             0.00008
 17.4046             0.00001            -0.00004
 17.4672             0.00001            -0.00016
 17.5298             0.00001            -0.00026
 17.5924             0.00001            -0.00033
 17.6550             0.00001            -0.00035
 17.7176             0.00001            -0.00033
 17.7802             0.00001            -0.00026
 17.8428             0.00001            -0.00016
 17.9054             0.00001            -0.00005
 17.9680             0.00001             0.00005
 18.0306             0.00001             0.00012
 18.0932             0.00001             0.00014
 18.1558             0.00001             0.00012
 18.2184             0.00001             0.00008
 18.2811             0.00001             0.00002
 18.3437             0.00001            -0.00003
 18.4063             0.00001            -0.00006
 18.4689             0.00001            -0.00004
 18.5315             0.00001             0.00001
 18.5941             0.00001             0.00011
 18.6567             0.00001             0.00023
 18.7193             0.00001             0.00036
 18.7819             0.00001             0.00047
 18.8445             0.00001             0.00055
 18.9071             0.00001             0.00059
 18.9697             0.00001             0.00058
 19.0323             0.00001             0.00054
 19.0949             0.00001             0.00045
 19.1575             0.00001             0.00034
 19.2201             0.00001             0.00021
 19.2828             0.00001             0.00005
 19.3454             0.00000            -0.00012
 19.4080             0.00000            -0.00031
 19.4706             0.00000            -0.00050
 19.5332             0.00000            -0.00067
 19.5958             0.00000            -0.00080
 19.6584             0.00000            -0.00087
 19.7210             0.00000            -0.00085
 19.7836            -0.00000            -0.00074
 19.8462            -0.00000            -0.00054
 19.9088            -0.00000            -0.00030
 19.9714            -0.00000            -0.00006
 20.0340            -0.00000             0.00013
 20.0966            -0.00000             0.00023
 20.1592            -0.00000             0.00021
 20.2218            -0.00000             0.00010
 20.2845            -0.00000            -0.00008
 20.3471            -0.00000            -0.00026
 20.4097            -0.00000            -0.00038
 20.4723            -0.00001            -0.00041
 20.5349            -0.00001            -0.00033
 20.5975            -0.00001            -0.00016
 20.6601            -0.00001             0.00006
 20.7227            -0.00001             0.00029
 20.7853            -0.00001             0.00048
 20.8479            -0.00001             0.00060
 20.9105            -0.00000             0.00064
 20.9731            -0.00000             0.00061
 21.0357            -0.00000             0.00054
 21.0983            -0.00000             0.00044
 21.1609            -0.00000             0.00032
 21.2236            -0.00000             0.00020
 21.2862            -0.00000             0.00007
 21.3488            -0.00000            -0.00006
 21.4114            -0.00001            -0.00019
 21.4740            -0.00001            -0.00029
 21.5366            -0.00001            -0.00037
 21.5992            -0.00001            -0.00040
 21.6618            -0.00001            -0.00037
 21.7244            -0.00001            -0.00029
 21.7870            -0.00000            -0.00019
 21.8496            -0.00000            -0.00007
 21.9122            -0.00000             0.00003
 21.9748            -0.00000             0.00010
 22.0374            -0.00000             0.00013
 22.1000            -0.00000             0.00012
 22.1626            -0.00000             0.00007
 22.2253            -0.00000             0.00001
 22.2879            -0.00000            -0.00005
 22.3505            -0.00000            -0.00009
 22.4131            -0.00000            -0.00010
 22.4757            -0.00000            -0.00006
 22.5383            -0.00000             0.00001
 22.6009            -0.00000             0.00011
 22.6635            -0.00000             0.00023
 22.7261            -0.00000             0.00034
 22.7887            -0.00000             0.00042
 22.8513            -0.00000             0.00047
 22.9139            -0.00000             0.00047
 22.9765            -0.00000             0.00043
 23.0391            -0.00000             0.00035
 23.1017            -0.00000             0.00024
 23.1643            -0.00000             0.00011
 23.2270            -0.00000            -0.00003
 23.2896            -0.00000            -0.00019
 23.3522            -0.00000            -0.00036
 23.4148            -0.00000            -0.00053
 23.4774            -0.00000            -0.00068
 23.5400            -0.00000            -0.00078
 23.6026            -0.00000            -0.00083
 23.6652            -0.00000            -0.00078
 23.7278            -0.00000            -0.00065
 23.7904             0.00000            -0.00044
 23.8530             0.00000            -0.00020
 23.9156             0.00000             0.00003
 23.9782             0.00000             0.00020
 24.0408             0.00000             0.00027
 24.1034             0.00000             0.00023
 24.1660             0.00000             0.00011
 24.2287             0.00000            -0.00007
 24.2913             0.00000            -0.00023
 24.3539             0.00000            -0.00033
 24.4165             0.00000            -0.00033
 24.4791             0.00000            -0.00022
 24.5417             0.00001            -0.00002
 24.6043             0.00001             0.00022
 24.6669             0.00001             0.00046
 24.7295             0.00001             0.00065
 24.7921             0.00001             0.00076
 24.8547             0.00001             0.00078
 24.9173             0.00001             0.00074
 24.9799             0.00001             0.00063
 25.0425             0.00001             0.00050
 25.1051             0.00001             0.00036
 25.1678             0.00001             0.00022
 25.2304             0.00001             0.00007
 25.2930             0.00001            -0.00007
 25.3556             0.00001            -0.00020
 25.4182             0.00001            -0.00031
 25.4808             0.00001            -0.00039
 25.5434             0.00001            -0.00042
 25.6060             0.00001            -0.00040
 25.6686             0.00001            -0.00034
 25.7312             0.00001            -0.00024
 25.7938             0.00001            -0.00013
 25.8564             0.00001            -0.00002
 25.9190             0.00001             0.00006
 25.9816             0.00001             0.00010
 26.0442             0.00001             0.00010
 26.1068             0.00001             0.00006
 26.1695             0.00001            -0.00000
 26.2321             0.00001            -0.00007
 26.2947             0.00001            -0.00012
 26.3573             0.00001            -0.00013
 26.4199             0.00001            -0.00010
 26.4825             0.00001            -0.00003
 26.5451             0.00001             0.00008
 26.6077             0.00001             0.00021
 26.6703             0.00001             0.00034
 26.7329             0.00001             0.00044
 26.7955             0.00001             0.00050
 26.8581             0.00001             0.00051
 26.9207             0.00001             0.00046
 26.9833             0.00001             0.00038
 27.0459             0.00001             0.00027
 27.1085             0.00001             0.00014
 27.1712             0.00001            -0.00001
 27.2338             0.00001            -0.00017
 27.2964             0.00001            -0.00033
 27.3590             0.00001            -0.00050
 27.4216             0.00000            -0.00065
 27.4842             0.00000            -0.00076
 27.5468             0.00000            -0.00080
 27.6094             0.00000            -0.00077
 27.6720             0.00000            -0.00065
 27.7346             0.00000            -0.00046
 27.7972             0.00000            -0.00024
 27.8598             0.00000            -0.00001
 27.9224             0.00000             0.00017
 27.9850             0.00000             0.00027
 28.0476             0.00000             0.00027
 28.1102             0.00000             0.00020
 28.1729             0.00000             0.00007
 28.2355             0.00000            -0.00006
 28.2981             0.00000            -0.00015
 28.3607             0.00000            -0.00017
 28.4233             0.00000            -0.00010
 28.4859             0.00000             0.00005
 28.5485             0.00000             0.00025
 28.6111             0.00000             0.00044
 28.6737             0.00000             0.00061
 28.7363             0.00000             0.00070
 28.7989             0.00000             0.00072
 28.8615             0.00000             0.00067
 28.9241             0.00000             0.00056
 28.9867             0.00000             0.00042
 29.0493             0.00000             0.00028
 29.1120             0.00000             0.00013
 29.1746             0.00000            -0.00002
 29.2372             0.00000            -0.00015
 29.2998             0.00000            -0.00028
 29.3624            -0.00000            -0.00039
 29.4250            -0.00000            -0.00047
 29.4876            -0.00000            -0.00051
 29.5502            -0.00000            -0.00049
 29.6128            -0.00000            -0.00042
 29.6754            -0.00000            -0.00030
 29.7380            -0.00000            -0.00016
 29.8006            -0.00000            -0.00002
 29.8632            -0.00000             0.00009
 29.9258            -0.00000             0.00015
 29.9884            -0.00000             0.00017
 30.0510            -0.00000             0.00014
 30.1137            -0.00000             0.00008
 30.1763            -0.00000             0.00000
 30.2389            -0.00000            -0.00006
 30.3015            -0.00000            -0.00009
 30.3641            -0.00000            -0.00008
 30.4267            -0.00000            -0.00003
 30.4893            -0.00000             0.00005
 30.5519            -0.00000             0.00016
 30.6145            -0.00000             0.00026
 30.6771            -0.00000             0.00034
 30.7397            -0.00000             0.00039
 30.8023            -0.00000             0.00039
 30.8649            -0.00000             0.00036
 30.9275            -0.00000             0.00028
 30.9901            -0.00000             0.00017
 31.0527            -0.00000             0.00005
 31.1154            -0.00001            -0.00009
 31.1780            -0.00001            -0.00024
 31.2406            -0.00001            -0.00039
 31.3032            -0.00001            -0.00054
 31.3658            -0.00001            -0.00068
 31.4284            -0.00000            -0.00078
 31.4910            -0.00000            -0.00082
 31.5536            -0.00000            -0.00078
 31.6162            -0.00000            -0.00065
 31.6788            -0.00000            -0.00045
 31.7414            -0.00000            -0.00019
 31.8040            -0.00000             0.00006
 31.8666            -0.00000             0.00028
 31.9292            -0.00000             0.00041
 31.9918            -0.00000             0.00044
 32.0544            -0.00000             0.00038
 32.1171            -0.00000             0.00026
 32.1797            -0.00000             0.00011
 32.2423            -0.00000            -0.00000
 32.3049            -0.00000            -0.00005
 32.3675            -0.00000            -0.00002
 32.4301            -0.00000             0.00009
 32.4927            -0.00000             0.00024
 32.5553            -0.00000             0.00040
 32.6179            -0.00000             0.00053
 32.6805            -0.00000             0.00061
 32.7431            -0.00000             0.00063
 32.8057            -0.00001             0.00058
 32.8683            -0.00001             0.00048
 32.9309            -0.00001             0.00035
 32.9935            -0.00001             0.00020
 33.0562            -0.00001             0.00005
 33.1188            -0.00001            -0.00009
 33.1814            -0.00001            -0.00022
 33.2440            -0.00001            -0.00033
 33.3066            -0.00001            -0.00042
 33.3692            -0.00001            -0.00049
 33.4318            -0.00001            -0.00052
 33.4944            -0.00001            -0.00051
 33.5570            -0.00001            -0.00045
 33.6196            -0.00001            -0.00035
 33.6822            -0.00001            -0.00022
 33.7448            -0.00001            -0.00008
 33.8074            -0.00001             0.00006
 33.8700            -0.00001             0.00016
 33.9326            -0.00001             0.00021
 33.9952            -0.00001             0.00021
 34.0579            -0.00001             0.00014
 34.1205            -0.00001             0.00004
 34.1831            -0.00001            -0.00007
 34.2457            -0.00001            -0.00016
 34.3083            -0.00001            -0.00021
 34.3709            -0.00001            -0.00019
 34.4335            -0.00001            -0.00011
 34.4961            -0.00001             0.00002
 34.5587            -0.00001             0.00017
 34.6213            -0.00001             0.00031
 34.6839            -0.00001             0.00041
 34.7465            -0.00001             0.00045
 34.8091            -0.00001             0.00044
 34.8717            -0.00001             0.00037
 34.9343            -0.00000             0.00027
 34.9969            -0.00000             0.00015
 35.0596            -0.00000             0.00003
 35.1222            -0.00000            -0.00009
 35.1848            -0.00000            -0.00021
 35.2474            -0.00000            -0.00033
 35.3100            -0.00000            -0.00044
 35.3726            -0.00000            -0.00052
 35.4352            -0.00000            -0.00056
 35.4978            -0.00000            -0.00054
 35.5604            -0.00000            -0.00045
 35.6230            -0.00000            -0.00030
 35.6856            -0.00000            -0.00014
 35.7482            -0.00000            -0.00000
 35.8108            -0.00000             0.00007
 35.8734            -0.00000             0.00006
 35.9360            -0.00000            -0.00003
 35.9986            -0.00000            -0.00018
 36.0613            -0.00000            -0.00031
 36.1239            -0.00000            -0.00039
 36.1865            -0.00000            -0.00039
 36.2491            -0.00000            -0.00028
 36.3117            -0.00001            -0.00009
 36.3743            -0.00001             0.00015
 36.4369            -0.00000             0.00039
 36.4995            -0.00000             0.00060
 36.5621            -0.00000             0.00076
 36.6247            -0.00000             0.00084
 36.6873            -0.00000             0.00085
 36.7499            -0.00000             0.00080
 36.8125            -0.00000             0.00068
 36.8751            -0.00000             0.00052
 36.9377            -0.00000             0.00033
 37.0004            -0.00000             0.00014
 37.0630            -0.00000            -0.00004
 37.1256            -0.00000            -0.00019
 37.1882            -0.00000            -0.00031
 37.2508            -0.00000            -0.00039
 37.3134            -0.00000            -0.00043
 37.3760            -0.00000            -0.00045
 37.4386            -0.00000            -0.00046
 37.5012            -0.00000            -0.00044
 37.5638            -0.00000            -0.00040
 37.6264            -0.00000            -0.00032
 37.6890            -0.00000            -0.00021
 37.7516            -0.00000            -0.00007
 37.8142            -0.00000             0.00007
 37.8768            -0.00000             0.00017
 37.9394            -0.00000             0.00020
 38.0021            -0.00000             0.00017
 38.0647            -0.00000             0.00006
 38.1273            -0.00000            -0.00009
 38.1899            -0.00000            -0.00023
 38.2525            -0.00000            -0.00033
 38.3151            -0.00000            -0.00035
 38.3777            -0.00000            -0.00027
 38.4403            -0.00000            -0.00011
 38.5029            -0.00000             0.00011
 38.5655            -0.00000             0.00034
 38.6281            -0.00000             0.00052
 38.6907            -0.00000             0.00062
 38.7533            -0.00000             0.00063
 38.8159            -0.00000             0.00056
 38.8785            -0.00000             0.00044
 38.9411            -0.00000             0.00030
 39.0038            -0.00000             0.00016
 39.0664            -0.00000             0.00003
 39.1290            -0.00000            -0.00008
 39.1916            -0.00000            -0.00019
 39.2542            -0.00000            -0.00029
 39.3168            -0.00000            -0.00038
 39.3794            -0.00000            -0.00044
 39.4420            -0.00000            -0.00043
 39.5046            -0.00000            -0.00036
 39.5672            -0.00000            -0.00023
 39.6298            -0.00000            -0.00009
 39.6924            -0.00001             0.00002
 39.7550            -0.00001             0.00004
 39.8176            -0.00001            -0.00008
 39.8802            -0.00001            -0.00032
 39.9428            -0.00001            -0.00063
 40.0055            -0.00001            -0.00091
 40.0681            -0.00001            -0.00107
 40.1307            -0.00001            -0.00105
 40.1933            -0.00001            -0.00085
 40.2559            -0.00001            -0.00049
 40.3185            -0.00001            -0.00005
 40.3811            -0.00001             0.00041
 40.4437            -0.00000             0.00081
